,Company_name,Company_agents_owners
20,"X Diamond Partners, LLP",KENDALL  VETTER
21,X ELECTRIC,"XTREME ELECTRICAL SERVICES, INC."
22,X Golf Bismarck,"Elite Golf 2, LLC"
23,X Golf Minot,"Elite Golf, LLC"
24,X Realty LLC,ERIC  CHRISTIANS
25,X REPUBLIC SALON LLC,PEDRO  CAVASAS
26,"X S BROKERS INSURANCE AGENCY, INC.","REGISTERED AGENT SOLUTIONS, INC."
27,"X2COMM, INC.","NATIONAL REGISTERED AGENTS, INC."
28,x2VA LLC,DAKOTA W REGISTERED AGENT LLC
29,XactlyOne Foundation,"NORTHWEST REGISTERED AGENT SERVICE, INC."
30,"Xactus, LLC",CORPORATION SERVICE COMPANY
31,"XANADU PRODUCTS, L.L.C.",RICK  PAULSON
32,"XANADU, LLC",MICHELLE  BAKKE
33,Xander Products & Service LLC,ALEXANDER G. MUGAN
34,XAP Corporation,CORPORATION SERVICE COMPANY
35,XAPIC STUDIOS,PATRICIA A ROGALLA
36,"XB Investments, LLC",JOSH  JELINEK
37,"XCALIBER INTERNATIONAL LTD., L.L.C.",CORPORATION SERVICE COMPANY
38,"XCAST LABS, INC.","INCORP SERVICES, INC."
39,"XCED AVIATION SERVICES, LLC",C T CORPORATION SYSTEM
40,XCEL AG SOLUTIONS LLC,ANTHONY  BAUMGARTNER
41,XCEL AGRONOMY LLC,CHRISTOPHER  PERLEBERG
42,Xcel Automation,Xcel Automation & Electric LLC
43,Xcel Automation & Electric LLC,TANNER  COLLETTE
44,Xcel Aviation,Tanner S Collette
45,Xcel Aviation LLC,TANNER  COLLETTE
46,XCEL ENERGY,NORTHERN STATES POWER COMPANY
47,XCEL ENERGY INC.,CORPORATION SERVICE COMPANY
48,XCEL ENERGY SERVICES INC.,CORPORATION SERVICE COMPANY
49,"XCEL ERECTORS, INC.",C T CORPORATION SYSTEM
50,Xcel Holdings,Tanner Collette
51,Xcel Holdings LLC,TANNER  COLLETTE
52,XCEL NDT LLC,SEARCH COMPANY OF NORTH DAKOTA LLC
53,"Xcel Protective Services, Inc.",ELI  OLSON
54,XCEL TRUCKING LLC,Kenneth  Miller
55,XCELL DRIVING SCHOOL LLP,DAVID J KLINKHAMMER
56,"XCHANGE BENEFITS, LLC","3H AGENT SERVICES, INC."
57,XCHANGE TELECOM LLC,"INCORP SERVICES, INC."
58,"XCL AssetCo, LLC",C T CORPORATION SYSTEM
59,"XCL Marketing, LLC",C T CORPORATION SYSTEM
60,"XCL Resources, LLC",C T CORPORATION SYSTEM
61,"XCL RoyaltyCo, LLC",C T CORPORATION SYSTEM
62,"XCLOUD, LLC","REGISTERED AGENT SOLUTIONS, INC."
63,Xclusive Apparel,PO BOX 2439
